Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/26,6:00:00,2.32688,29.99035,33.55818,No data,No data,50.7,1.7,12
2020/6/26,7:00:00,3.74887,31.60457,37.35275,No data,No data,47.5,1.8,11.6
2020/6/26,8:00:00,3.49032,33.38443,38.73618,No data,No data,49.3,1.7,11.9
2020/6/26,9:00:00,6.17916,31.15888,40.63347,No data,No data,59.5,1.6,12.9
2020/6/26,10:00:00,4.49864,30.05967,36.95748,No data,No data,103.9,2,15.6
2020/6/26,11:00:00,1.29271,23.11734,25.09947,No data,No data,117,3.1,18.7
2020/6/26,12:00:00,4.60206,37.56928,44.62567,No data,No data,129.5,2.9,20.7
2020/6/26,13:00:00,5.63622,32.86097,41.50306,No data,No data,130.7,3.9,22.7
2020/6/26,14:00:00,3.3352,22.75244,27.86634,No data,No data,135.6,4.2,24.2
2020/6/26,15:00:00,2.45615,18.32939,22.09544,No data,No data,146.9,4.2,25.4
2020/6/26,16:00:00,1.42198,17.62254,19.80289,No data,No data,163.9,4.3,24.8
2020/6/26,17:00:00,2.7147,27.37985,31.54232,No data,No data,206.2,3.3,24.2
2020/6/26,18:00:00,1.91321,25.68379,28.61735,No data,No data,260.8,4.4,23.9
2020/6/26,19:00:00,1.68053,18.13523,20.712,No data,No data,298.3,3.9,21.9
2020/6/26,20:00:00,0.54294,10.35357,11.18606,No data,No data,301.3,4.9,18.7
2020/6/26,21:00:00,0.51708,9.56315,10.356,No data,No data,292.3,3.6,17.1
2020/6/26,22:00:00,0.46538,9.91912,10.63269,No data,No data,296.6,3.2,15.9
2020/6/26,23:00:00,0.36196,9.16858,9.72357,No data,No data,298.1,2,14.8
2020/6/26,24:00:00,0.51708,8.93072,9.72357,No data,No data,259.5,1.8,14
2020/6/27,1:00:00,0.13789,7.2723,7.48373,No data,No data,239,1.9,15.2
2020/6/27,2:00:00,0.41367,12.91021,13.54449,No data,No data,229.1,1.8,14.3
2020/6/27,3:00:00,0.31025,14.66302,15.13873,No data,No data,201.2,2.4,13.6
2020/6/27,4:00:00,0.25854,13.12171,13.51814,No data,No data,182.5,2.3,13.2
2020/6/27,5:00:00,0.51708,12.96245,13.7553,No data,No data,188.5,3,13.8
2020/6/27,6:00:00,1.06002,10.39078,12.01612,No data,No data,178.4,3.8,14.1
2020/6/27,7:00:00,3.30934,12.63372,17.70797,No data,No data,171.1,3.1,14.5
